Liga,Inning,Mitad Del Inning,Evento,Outs Antes De Jugada,Corredores Inicio De Jugada,Carreras Antes De Jugada,Carreras Anotadas En Jugada,Outs En Juego,Outs Despues De Jugada,Corredores Despues De Jugada,Carreras Despues De Jugada,Carreras Final Inning
SNB60,6,bottom,W. Pacheco  es Out de rolling 43.,2,---,0,0,1,3,---,0,0
SNB60,7,top,A. Jimenez  es Out de rolling 13.,0,---,0,0,1,1,---,0,0
SNB60,7,top,Y. Borroto  es Out de fly al jardin izquierdo.,1,---,0,0,1,2,---,0,0
SNB60,7,top,H. Morales  es Out de fly.,2,---,0,0,1,3,---,0,0
SNB60,7,bottom,Y. Vizcaino  es Out de fly.,0,---,0,0,1,1,---,0,0
SNB60,7,bottom,Y. Perez  es Out de linea.,1,---,0,0,1,2,---,0,0
SNB60,7,bottom,M. Alonso  es Out de rolling 63.,2,---,0,0,1,3,---,0,0
SNB60,8,top,R. Gonzalez  batea Doble de linea al jardin izquierdo.,0,---,0,0,0,0,-2-,0,0
SNB60,8,top,O. Vazquez  es Out de rolling 53.,0,-2-,0,0,1,1,-2-,0,0
SNB60,8,top,Y. Fiss  se Poncha.,1,-2-,0,0,1,2,-2-,0,0
SNB60,8,top,A. Civil  recibe Base por Bolas Intencional.,2,-2-,0,0,0,2,12-,0,0
SNB60,8,top,"Y. Gonzalez  es Out de rolling 13. A. Civil  avanza a Segunda Base, R. Gonzalez  avanza a Tercera Base, ",2,12-,0,0,1,3,-23,0,0
SNB60,8,bottom,Y. La Rosa  recibe Base por Bolas.,0,---,0,0,0,0,1--,0,2
